|-------------------------------------------------------------------------|
|   File Name : in_temp.dat
|   Subject   : temperature profiles used for initial guess atmosphere
|   File Type : input of gmtr
|   Data Type : atmospherical data
|   Author/s  : WRF-Chem
|   Date      : Fri Jul 26 15:39:24 2024
|-------------------------------------------------------------------------|

 WRF-Chem temperature
#
 values of T (K)    (8f10.5)
#
 381.81900 372.39900 361.20600 349.77600 337.62200 324.85300 311.81000 298.35300
 284.86000 271.32400 258.56100 246.30400 236.08700 226.79600 218.44800 211.29000
 205.52200 200.89400 197.38100 194.84800 193.01500 192.31500 192.25000 192.43100
 192.91200 193.53700 194.13600 194.71200 195.26200 195.83100 196.39300 196.97600
 197.60400 198.14900 198.58400 199.05700 199.69500 200.37800 201.05400 201.70800
 202.31300 202.85700 203.35500 203.86200 204.56900 205.29700 206.02600 206.98700
 208.19300 209.44100 210.96900 212.57600 214.46200 216.51300 218.63000 220.85300
 223.34100 225.96200 228.73900 231.69700 234.70600 237.70600 240.69200 243.65700
 246.73700 249.69900 252.52100 255.06300 257.29000 259.23300 260.63300 261.68000
 262.46100 262.79800 262.69100 262.22400 261.06900 259.52500 257.70700 255.50700
 253.00100 250.30200 247.39800 244.45200 241.65400 239.05400 236.73300 234.59000
 232.59500 230.72500 228.83400 226.82600 224.66600 222.38700 220.10400 217.71500
 215.45900 213.06600 210.54600 208.09300 205.35400 202.08130 196.05959 200.71215
 209.01611 216.90438 223.84126 229.78593 235.00632 240.20838 245.98943 250.68668
 254.32982 257.93487 261.55666 264.96801 268.15192 271.06452 273.76717 276.25691
 278.57680 280.74479 282.77456 284.60533 286.27232 287.81705 289.31715 290.65561
 291.81734 292.81312 293.70701 294.49387 295.17482 295.77730 296.32696 296.82492
 297.27278 297.67160 298.02000 298.46400
 366.78100 356.34179 345.78059 334.65338 323.06318 311.26397 299.14077 286.95056
 274.66936 262.57315 250.58895 239.89674 230.02554 221.13633 213.32513 206.33392
 200.17472 195.11951 191.70831 189.75710 188.80090 188.87169 189.71349 191.02828
 192.76008 194.86187 197.13167 199.49746 201.94926 204.43605 206.53085 208.37964
 210.01244 211.16423 211.40003 211.63482 211.57862 211.29041 210.93021 210.56700
 210.19080 209.90759 209.72239 209.59318 209.52798 209.86577 210.25857 210.65436
 211.45416 212.63895 213.89575 215.68554 217.62034 219.67013 221.77193 223.86172
 225.92852 228.01931 230.12311 232.23590 234.37170 236.55049 238.81329 241.19008
 243.81788 246.07567 248.08447 249.85626 251.28006 252.40985 253.23865 253.56144
 253.60524 253.38603 252.75283 251.70762 250.32042 248.48821 246.40401 244.24380
 242.04160 239.85239 237.67919 235.52498 233.39178 231.26557 229.29837 227.46216
 225.75195 224.23075 222.86754 221.64634 220.53513 219.50193 218.61272 217.76052
