x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53
243.21231651013807,243.46352937763444,243.74701797267207,244.1106422198949,244.59376153635472,245.17857220080862,245.81758645175933,246.53662599961862,247.40450396711708,248.38325670072982,249.23110990123416,249.85902865725768,250.3625449415034,250.733070817417,250.98621869439182,251.21423379523864,251.45888713203578,251.70391930086737,251.9247830980077,252.2051771844851,252.57002193137728,252.99406753832318,253.6416134093378,254.3144362275826,254.90525590269573,255.47859268769233,256.0590877880492,256.48293445689745,257.009965972012,257.50632163744854,257.41663756941796,257.1180143321735,257.15241276184275,257.11813462941745,256.98587194168005,257.27852240948306,257.2257986294519,256.97219321780335,256.7553998428554,256.6492547094814,256.67750522626346,256.64971271837544,256.5545703974979,256.56774539578146,256.50537150527714,256.3874547933707,256.27926036265757,256.09076389513325,255.80503989473115,255.6333569308105,255.64804659659717,255.59740130037406,255.4826087991563
239.06865627068444,239.36204160503542,239.68994775763468,240.1000368683063,240.66773228792496,241.3958072920245,242.19862597176936,243.03384201641612,243.91070180429492,244.75269182751362,245.37783363878742,245.76477504235274,246.1171808067709,246.51091801255552,246.87605025314187,247.15071635935342,247.3461118353381,247.5260120023357,247.71610171192341,248.01763072511844,248.56314669912643,249.28394975953776,250.32636023505518,251.20481862164814,251.97435037732146,252.82504133176334,253.4792143971308,253.66336484714927,253.6499724315848,253.79974130666994,254.0753008584102,253.91354893770406,253.85774084142074,253.7941863725121,253.85931388476374,254.27491818597642,254.1424883543639,253.75411842572493,253.5153575483027,253.4870767267545,253.42974140927117,253.37261283714594,253.26885124663704,253.2438970652612,253.02354443872915,252.8558857620334,252.66872531907856,252.47489356040217,252.314775409743,252.20966567001855,252.20433171179837,252.1274845108006,251.98128433142338
235.49108408948473,235.86589949966321,236.30278548045936,236.7960100195148,237.36564375177963,238.0226143631522,238.7141549170774,239.37005735234936,239.94164668069567,240.4559469563159,240.93579854938815,241.36169891984562,241.78704234213038,242.21274107500335,242.61298071618594,243.05981591694936,243.52377267833373,243.90877940513693,244.2725343665963,244.861421067411,245.86788614982663,246.92621690805007,247.82133797101017,248.41208677855678,248.9176406850801,249.49820930180303,249.9638197447898,250.11167254341268,250.00920331428645,250.01856444802425,250.35116935303853,250.38826049601505,250.36406947789328,250.36087315849537,250.52062874890763,250.851015120938,250.73096263069414,250.26101629548808,250.01281064282105,250.09244769882426,250.03580194087021,249.92034754356305,249.82943061420386,249.75662952393355,249.49114198050756,249.32350165194862,249.151240712984,249.03506091615546,248.90011448776661,248.6165182605409,248.49130609661862,248.43635571828275,248.40700093947564
231.91572069435745,232.3644641876254,232.90296047548017,233.4786546838834,234.0559580579616,234.6472624397837,235.2296838623854,235.70627268828258,235.97259155709645,236.15920208511818,236.49376345998886,236.9586227973385,237.45690387748985,237.9137914047221,238.34535871269878,238.96753675259257,239.72260955115968,240.3456338489143,240.91826738677233,241.8452917644955,243.37141649488572,244.7916850303429,245.46494537052686,245.68475232182206,245.83284050978503,246.0108230741478,246.21302633885358,246.36770465801746,246.29086257684014,246.2161019678341,246.51726449137416,246.77138208343578,246.81287890278782,246.8960571033961,247.12256920678925,247.31457016070547,247.23348123155782,246.69510593038967,246.44195970036571,246.63925831393163,246.60578985637025,246.42515465383698,246.3530569077855,246.23086590623754,245.946870053503,245.79092932535468,245.65480921979008,245.63424285842896,245.50186197629384,244.98736612700316,244.722098283263,244.69971965568894,244.81803520939894
228.35824747832368,228.8105306422435,229.34213011956246,229.92491546891011,230.52250171841288,231.07297557328175,231.53304996409466,231.8746260469393,232.04601050393404,232.22974911712802,232.59795126425126,233.1489674278901,233.7972535677603,234.45629985910975,235.12906332077088,235.8733295188166,236.72262008828844,237.5571880417741,238.32681687007283,239.2040979395682,240.45857713266864,241.64014153407936,242.127632278622,242.24872956098508,242.36271964822592,242.4148527986056,242.49728288814845,242.599852598986,242.56618032055647,242.433113715982,242.65098117757955,242.95705321942197,243.0017136796958,243.0320472732796,243.254479085397,243.42563397542074,243.31832523537366,242.89486398440587,242.67930342392557,242.84746667708217,242.8110684571711,242.63190513437223,242.57995751948235,242.43986427580802,242.15510937977228,241.98819870483936,241.84829627479525,241.81880603006613,241.69016210274296,241.21979040370653,240.94153370049582,240.85344659447586,240.939662286274
224.80077426228988,225.25659709686155,225.78129976364477,226.37117625393685,226.98904537886415,227.49868870677983,227.8336317488468,228.03626794612907,228.12237869241252,228.3379646420057,228.77699162929684,229.44177412923173,230.27807894870747,231.20559162140012,232.20799507838726,233.09499469841222,234.0091898967941,235.07940630823526,236.072432658724,236.74538654080646,237.32212863976628,237.88522603180812,238.14832385536153,238.30936826189404,238.60107144532992,238.73249917367582,238.81067058726168,238.81158456779596,238.8359574486547,238.66746116782824,238.75514743944703,238.96079024929364,238.95018197206542,238.7988007720846,238.95636184001572,239.2199697851796,239.03320769670913,238.89068115631977,238.75260668515398,238.77150187381886,238.71458997703795,238.59452156622794,238.5674039167318,238.4388132895812,238.16979757658098,237.9768248201324,237.80632263387488,237.69593248404135,237.57786197288945,237.35368961755117,237.15299526290758,236.93117176164327,236.86322072872136
222.29937168326882,222.76544602091997,223.24356056675845,223.6574370238597,224.0079924475492,224.30504425164804,224.54702387868113,224.7796149146461,225.06815208642962,225.39685272698355,225.79774945326113,226.41658206564895,227.24324392770458,228.21991577571882,229.33042541890333,230.30008562128285,231.2760677158014,232.50782610184376,233.64574216943817,234.1384620890356,234.1212257849851,234.1259699355669,234.18230405823283,234.37670658130173,234.83786010749427,235.05014554874603,235.12405828637492,235.02331653660593,235.10573457675298,234.9018086196745,234.8593137013145,234.9645272791653,234.89865026443505,234.5655542708896,234.65824459463443,235.01430559493843,234.74809015804456,234.88649832823367,234.82590994638235,234.69553707055553,234.61811149690482,234.55713799808362,234.5548503139812,234.43776230335436,234.1844857733897,233.96473392732926,233.76165141616787,233.56730292255196,233.4594942152205,233.48180548067563,233.3507821416787,232.99234547674953,232.771832599487
220.8090626112313,221.19278365975154,221.53659730256848,221.70341081020527,221.68751886936246,221.6903404692542,221.89414266269077,222.31554442523574,223.06719405225726,223.67644744658776,224.04916674025026,224.53139319791183,225.13891937273732,225.81998371657588,226.56446868564632,227.45492858934182,228.47177387736048,229.52726403213205,230.29289794997035,230.48625114507516,230.28478668609011,230.30323680655832,230.5216786044097,230.72510609268832,230.8298868874211,230.89947815861254,230.722300105275,230.61589183987013,230.84128288186142,230.68782869259104,230.51429714654248,230.58000152378895,230.4706082638532,230.17828395380033,230.2576419596136,230.44802583474626,230.1996404482556,230.3235809446962,230.46436290914335,230.14240060454213,230.02253795849848,230.1572006698074,230.19668004188134,229.92735515306182,229.7194363361716,229.63086975833124,229.2836456704421,228.92777613072835,229.01878219427766,229.41217919452592,229.1594274260728,228.64018841510656,228.3297351854875
220.48854688986575,220.5362914842451,220.4910118026714,220.45334782468956,220.43429914742427,220.44811657508583,220.88289971576975,221.47794614588312,221.70681002537702,221.84930630057673,222.26439516868052,222.6925218509173,222.89195290298056,223.28700726335967,223.938650481601,224.56832842191625,225.15759326167117,225.79695000584027,226.36078446633576,226.58067300085136,226.41184762467552,226.40110590580608,226.54457341688845,226.67661041686077,226.69073079005256,226.5845469883134,226.29439099855568,226.2563300574053,226.4501180229562,226.34040305087996,226.0418430516192,226.06380510646352,225.99737299940034,225.75702051317555,225.80011715888634,225.91451075295288,225.73505153553788,225.66478266303417,225.84664497017093,225.47621108218777,225.36134923998958,225.58602492508598,225.6262309266574,225.3816834232871,225.28820677758645,225.290154446307,224.96269170608366,224.58751180414478,224.60994529767083,224.94883756974988,224.6356658504987,224.3341841430523,224.1996563035182
219.78652114579324,219.71336675132412,219.5990373092919,219.5494328735749,219.64575947640813,219.76456408692115,219.95236969142076,220.2066010141142,220.18312662044787,220.09354432805054,220.2308782372664,220.488872645633,220.6120443937348,220.86824702340536,221.34679024989202,221.62538416433244,221.7119473195299,221.86617770478966,222.20531648877088,222.52645263049126,222.48365078092976,222.41958808084124,222.34875275486658,222.34453304850672,222.4496004891266,222.14116762837256,221.8577213598288,221.9561293309671,221.96375952922995,221.8891342858004,221.47150134427744,221.44354519956534,221.50033001930203,221.31180375649953,221.29485859238392,221.42772437230735,221.35648127526665,220.9397859768271,221.01982643347506,220.72555763513557,220.6551847831391,220.88037559194316,220.88903348648492,220.81413218711722,220.88441385527275,220.94084527167124,220.74938841488162,220.45041992768327,220.22053367463096,220.22509291850105,219.91472935432324,220.05393080903502,220.22224557014147
